sampler,model,step_size,estimated_target_std_deviations,time,n_steps,n_logprob
MALA,banana,0.10824917450735302,"[1.5937680905446259, 3.810635136051719, 3.815770626991041, 3.8138983231186367]",12.378737251,2.260882e6,1.114068e7
MALA,funnel,0.28331189981174276,"[2.059820729110829, 10.570466948716449, 15.191307221519663, 11.050446533982003]",15.658529124000001,2.936128e6,1.3841664e7
MALA,mRNA,0.0017910601782119956,"[0.07733765133515494, 0.007109872247152203, 0.09569429929145787, 0.00820836076505626, 0.02854083630082779]",1166.139690084,2.647492e6,1.268712e7
MALA,horseshoe,0.031023771638853188,"[0.3196375840594163, 1.3177538130164435, 1.306575246969566, 1.6523962502073657, 1.7901252052500296, 1.1659946661269287, 0.9897487620683098, 1.4100781172247547, 1.283106104118152, 1.1724727712457874, 1.303646632971554, 0.8066538194565311, 1.2222925975245917, 0.9307521163643248, 1.2964574166577159, 1.5609070231346531, 1.2225905025735346, 1.4846977492021123, 1.1717859884882886, 0.9807943861509101, 1.510282548272389, 1.0483039381424792, 1.258255660127656, 1.235648233935726, 1.155439285514205, 1.1711996087744843, 1.1783022986383278, 0.9512110185383466, 1.2045157892156293, 1.9948531456941418, 1.122065427613651, 0.9203087616423481, 1.2847549902668607, 1.0030132432993297, 1.1228566296052638, 1.1078856889020632, 1.055501913793865, 1.1714631061887717, 1.110326498606383, 1.005781391733167, 1.0630727146889027, 1.1853699800828588, 1.3338179818990323, 0.9788503747579891, 1.367712910009589, 0.9502155967591347, 1.3562568532979333, 1.1393061515116198, 1.8446745220004106, 1.3518557256138886, 1.6247948104273686, 1.0524231844915488, 1.1589171398727685, 1.4707802411123434, 1.393955894575919, 1.9149669040951263, 1.1670063576015615, 0.971147781851241, 1.0954067259372018, 1.240659669871693, 1.3159406859749887, 1.2172279716384558, 1.915422139504572, 3.4097744818607523, 0.9074502569181361, 7.856799630213367, 1.614705182088028, 0.9419348450868104, 2.8946822519148054, 3.115418988257638, 1.873690637943949, 0.9966218347956314, 3.1846938345830975, 1.7628122642897035, 0.9110006704227395, 1.1833668771447938, 0.8281374876284905, 1.708012222687304, 1.168268865882892, 1.1789647691780516, 0.9815404115675408, 1.2153479866417352, 1.0687249356710633, 0.8085703572611251, 0.908599926788153, 0.8197319318485726, 0.8712685241159236, 0.7654640106975114, 0.6808318894804667, 0.6906385233684869, 0.7414912184794333, 0.8065124324473153, 1.5792716904071622, 1.1252871160282893, 0.7325804883765672, 0.7905170740116751, 1.470141773721993, 1.618191922329007, 1.7591144157480545, 0.9516542931880178, 1.063157670082765, 1.6216346927656218, 1.0255812487584992, 1.000101444042874, 1.0994569179493372, 1.7935930969783582, 3.102584363197562, 0.9666369382385324, 1.2061862913696593, 6.467033536386391, 1.3261995844190544, 2.499908136667019, 0.8629549898665647, 1.091692066702716, 1.4389253293814466, 1.4975909131395353, 1.5693671713809845, 1.494431827977029, 1.214865160830082, 1.3267305133817286, 1.1797249286911695, 1.8386612839353629]",124.864545543,2.425696e6,1.1799936e7
HMC,banana,0.08738166108027126,"[1.9217285254281298, 5.030646686266274, 5.03782492724954, 5.0468280289327145]",13.819429999,2.394694e6,1.1675928e7
HMC,funnel,0.23857081758647994,"[2.3909040054192086, 9.082942470764872, 10.319316536542189, 10.349608331817024]",19.187024662,3.562976e6,1.6349056e7
HMC,mRNA,0.051416173644837776,"[0.0679187871992344, 0.011281985618680095, 0.02444086650264809, 0.4780390767286165, 0.02608430633524636]",401.410153499,5.754834e6,2.5116488e7
HMC,horseshoe,0.03050469461256152,"[0.38205615440875573, 1.0319856668996112, 1.6024585853395592, 1.4606476283305727, 1.684850340426848, 1.4312277478955968, 1.3906258340344086, 1.0096961656809773, 1.0825940921440422, 1.2119362246365297, 1.3756017065624393, 1.5763725922588223, 1.6900104983823845, 1.0707537501078213, 1.0845810277104702, 1.3092737030835657, 1.3401895853397623, 1.2311524056932672, 1.1022746244631567, 1.640256166101651, 1.2368534885696307, 1.1441851485905403, 1.3988493375022244, 1.332885678823863, 1.3678019203189355, 1.0260912874352817, 1.210111268034375, 0.998269710965659, 1.468673244151184, 1.168783098333445, 1.3240838359766043, 1.1185772172015953, 1.1168832836339846, 1.1243856772942518, 1.0836826516541582, 1.0508999111057218, 1.2620164482061873, 1.2566676335728042, 0.9234743658942534, 1.33397438607068, 2.0625597094938706, 1.2719836697340425, 1.200485169221597, 1.2559481346400667, 1.1383758610632189, 1.711363370037141, 1.1737603784510977, 1.2200177142900062, 1.2215659155497454, 1.4762068546878877, 1.2685879998528677, 1.0159040334428842, 2.3586405923715077, 1.617464425017843, 1.2031992743675215, 1.5991946805774186, 1.659847822054018, 1.3135161323728337, 1.1512040015582174, 1.0007157341659687, 1.115314742281124, 1.404688687468843, 1.091877386019811, 2.3700140645650776, 1.3107846577474065, 5.309169878582396, 1.1971401617259352, 1.5096111909350243, 1.2762420282182327, 0.832508921772301, 1.7956713960171635, 1.570395364118399, 4.467472341451828, 2.9756183111339283, 0.8834525180157976, 0.7872374495697476, 0.8528549091115488, 1.7191916827883766, 1.4854483017696687, 0.8582755614617663, 0.8038707760492253, 0.8618860849093238, 0.9719699713566926, 1.1346665703816665, 0.9637666013651319, 0.8160938989502712, 0.7457917676253013, 0.6358661970420948, 0.6456271565535568, 0.7225110683142796, 0.5611025743539281, 0.8451779302620628, 1.7480165097683513, 0.8232473498870777, 0.7464481456754896, 0.5814733145898106, 0.7794039789257398, 1.8544674676413986, 1.7475633281669882, 0.7597076850113734, 1.817873009975696, 2.9624925119571888, 1.010983426773874, 1.02057298404688, 1.1472026107018947, 2.3932673658076773, 2.5730056237957535, 1.788178518628166, 2.411037811836408, 6.389090640979488, 2.4318945307195623, 1.1156585500167362, 0.8817063590316808, 17.72912008215269, 4.108378140469293, 1.2488307736779567, 2.8383127227071734, 0.7735726277062932, 0.7919199710686687, 1.2579977655101273, 1.0497769490125874, 0.8181424484241754]",123.74259333399999,2.773578e6,1.2414386e7
RWMH,banana,0.06172006667281765,"[2.7413996646126813, 11.039285609876455, 11.044361662556948, 11.0410727351486]",14.174957542,1.4436356e7,1.4436356e7
RWMH,funnel,0.3427708810985044,"[2.589024703374972, 123.64652106349286, 136.1736740691244, 113.99516798337274]",16.848301082,2.034741e7,2.034741e7
RWMH,mRNA,0.0024980666012520557,"[0.041569216549497925, 0.005167781514404138, 0.557160383408178, 0.005791460688676007, 0.02584585468120044]",83.20823979299999,1.5787494e7,1.5787494e7
RWMH,horseshoe,0.011719804318721185,"[0.4704610787723117, 1.5058859800273274, 1.4641106700504134, 1.1429236687749265, 0.9869258723705001, 1.6181484034879323, 1.1685544409633437, 0.9847371576570184, 1.3937555219625475, 1.2354964735489264, 0.9124585112534754, 1.64906026957028, 0.96876957486689, 0.9868258717345704, 1.2112002172994472, 1.3668096103888856, 1.1815584449147534, 1.1164301642203658, 1.506380561148652, 1.1760918859687315, 1.0906331215471967, 1.3207542888738495, 1.3715726451978587, 0.9855443407537208, 1.1939171551987142, 1.207384004332183, 1.3489518759809114, 1.1432995654675207, 0.9982609118332028, 1.3295345378725039, 1.4400839910763465, 1.0228349552135896, 1.1011988926848357, 1.215328549095808, 1.033627326596293, 1.651184500354166, 1.0952200948142803, 1.7898374143266043, 1.4251429660052108, 1.2285808490927268, 1.1841546680284971, 1.568486425960988, 1.5464830242753524, 1.8132468104278423, 0.9652537558283858, 0.7788182548911776, 1.256929452163772, 1.049613443698496, 1.0645358931039837, 1.4947597171509128, 1.231257839652621, 0.9837495744377565, 1.1378786247648285, 1.178520766705294, 1.2881139344837997, 1.1940049976481066, 1.2285539864087471, 1.1320048959931022, 0.9280715645053784, 0.8339895450148755, 1.021944212045531, 0.9046682505858148, 0.5404293178028007, 0.6628396802892711, 0.5348671939891719, 0.6147377216280427, 0.7899983687103193, 0.6809858969000547, 0.7893288154186662, 0.5377193724569826, 1.5855536756364788, 0.6954969791801635, 4.603750462172348, 2.69366186763007, 0.6747853210148987, 1.1237597109304458, 0.7883507494577465, 0.5800184654939335, 1.143732142431626, 0.6814085623839574, 0.7663104925413292, 0.4875386565240509, 1.0143236020785105, 0.797231957697766, 0.5193440567047041, 0.4741052273818206, 0.42322935185075733, 0.6231083618574622, 0.23364238804064447, 0.32761371424790536, 0.49724399768687577, 0.4358120505437199, 1.2312397396442634, 0.7549401044903057, 0.5433986976311502, 0.39013189801312076, 1.314672333740811, 0.945030485422854, 2.2651994731773035, 1.2123230074044773, 0.6984490751566591, 0.5090092898244644, 0.6806367806772574, 1.0477355499523975, 2.0002521830756335, 0.7133706660986786, 2.2303793442811464, 0.6285863105239465, 1.0495160852775083, 0.5585549887071078, 1.1257275086830476, 0.72197110161593, 0.5127073244279026, 1.3421849547330145, 0.9716726189500309, 0.8790187134108068, 0.8466879642459403, 1.016771236468147, 1.8104758870999018, 1.0610393848178719, 0.48512029351737085, 0.7699046606119181]",97.886385169,1.3645128e7,1.3645128e7